Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary
06-10-1960,05:30:00,"Off Barnegat City, New Jersey",Flyve Tjenesten,0,Seoul - Hong Kong,Fokker F-27 Friendship 100,F-BAOE,184007101/356,29,25,4,29,25,4,0,"Unable to gain altitude, the aircraft crashed into power cables during takeoff."
14-06-1960,17:58:00,Persian Gulf,Military - Royal Belgian Air Force,0,Bacolod - Mactan,Lockheed 749A-79-32 Constellation,9N-AAH,88411,14,9,5,14,9,5,0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight."
24-06-1960,10:05:00,"Near Quito, Ecuador",Aeroflot,0,Ashville - Roanoke,Convair CV-340-62,PP-PDT,1002,54,49,5,54,49,5,0,"An aborted takeoff caused the aircraft to crash through the airport barrier fence and burst into flames. The unnecessary discontinuance of the takeoff as a result of actions by the check-pilot who was either not in the pilot's seat or reached forward without warning and pulling the throttles back. This action caused power to be decreased on all four engines. Contributing factors were the marginally poor weather, snow on the runway and the possibility of the pitot head heat not being on."
07-06-1960,15:44:00,"Off Manila, Philippines",Chicago Helicopter Airways,0,Atlanta - Asheville - Roanoke - Washington DC,Goodyear ZPG-3W (airship),HK-794,19630,21,0,0,18,0,0,0,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing geart was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned."
07-10-1960,07:15:00,"Near Jima, Ethiopia",Deutsche Flugdienst,0,Vientiane - Luang Prabang,Douglas DC-3,OB-PBN-659,31,20,16,4,20,16,4,0,The aircraft struck Mt. Burangrang . Attempt by the pilot to fly over mountainous terrain when unsure of his position and in weather conditions which severely restricted visibility.
07-11-1960,10:44:00,"Copenhagen, Denmark",TAM (Bolivia),0,Vientiane - Luang Prabang,Douglas C-47B-DK,KA-4628,33559,18,14,4,18,14,4,0,"While approaching Argentia-Bristol Field, the  aircraft crashed into the Trinity Bay about 50 km northeast of Argentia. It is believed the aircraft disintegrated in the air possibly following a mechanical issue. However, due to a lack of evidence,  it was not possible to determine the exact cause of the accident."
14-07-1960,08:15:00,"Near Goma, Zaire",Aeroflot,0,Gander - Havana,Douglas DC-7C,CCCP-42366,401504,58,51,7,1,1,0,0,"The aircraaft banked left, entered a dive and eventually crashed into the ocean five miles off shore."
15-07-1960,16:33:00,"Near Syktyvkar, Russia",Military - French Naval Aviation,0,Hue - Da Nang,Douglas DC-3,N1000F,2021,11,8,3,1,0,1,0,Disappeared while en route. The wreckage was never found. It is believed the aircraft crashed into the sea off the island of Madura.
16-07-1960,00:58:00,"Forest Park, Illinois",Don Everall Aviation,0,Athens - Nicosia,de Havilland DH-89 Dragon Rapide,OK-MCT,42894/56,9,8,1,8,8,0,0,"The aircraft was about to touchdown on the runway when engine power was increased and the aircraft climbed to 1,500 ft. The aircraft completed 3 left-hand circles. Its attitude increased until it nosed down and crashed. The entire eighteen member U.S. Figure Skating team killed.  Failure of the aircraft's flying controls, possibly jamming of the outboard ailerons or unwanted extension of the spoilers."
19-07-1960,11:07:00,"Near Rimini, Italy",Air France,0,Phan Rang - Pleiku,Fairchild C-119G,60-0352,10147,41,37,4,37,33,4,0,Crashed into the slope of a mountain while en route. Navigation error. Failure of the crew to follow the prescribed route. Flying VFR in IFR conditions.
20-07-1960,08:19:00,"Near Tipuani, Bolivia",Aeroflot,0,Sao Paulo - Curitiba,Ilushin IL-14,CP-710,23,23,19,4,23,19,4,0,Crashed while attempting to land.
27-07-1960,08:08:00,"Near Kiev, Ukraine",Aerolineas Argentinas,0,Malaga - London,Sikorsky S-58C helicopter,CCCP-61628,45253/5,13,11,2,13,11,2,0,The aircraft crashed 13.6 miles Northeast of NÃ¼rnberg after an intentional descent for unknown reasons led to the disintegration of the aircraft due to structural stress. Possible defective artificial horizon. Possible unnoticed over control of the electrical rudder or aileron trim. Possible physical incapacitation of one or both pilots.
31-07-1960,15:10:00,"Near El Kelaa, Morocco",World Airways,0,Hong Kong - Saigon,Convair CV-240-4,VT-DGX,4,34,30,4,1,1,0,0,The plane crashed into La Gotera Hill while on approach to Santiago. The official cause is unknown.  Icing suspected. All members of the Green Cross Chilean soccer team killed. Wreckage found 54 years after the accident.
08-01-1960,16:30:00,"Off Heraklion, Greece",Military - U.S. Navy,0,Cincinnati - Los Angeles,Douglas C-47,N6923C,45777/80 / N6127V,6,4,2,6,4,2,0,The aircraft impacted Mount Parker shortly after taking off in foggy weather conditions.
17-08-1960,10:48:00,"Off Dakar, Senegal",Wheeler Airlines,0,Sverdlovsk  - Tashken,Ilyushin IL-18B,OK-MCT,33262,34,27,7,34,27,7,0,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb."
17-08-1960,12:30:00,"Near Zikhnovo, Russia",Austrian Airlines,0,Los Angeles - Cincinnati,Avro Lancaster 1,CF-THA,73,20,15,5,20,15,5,0,"After a night takeoff, while climbing to a height of 500 feet, the airplane went out of control and crashed in a wooded area."
24-08-1960,07:48:00,"Near Salto, Uruguay",Mexicana,0,Pleiku  Qui Nhon,Vickers 634 Viking 1B,EC-ATB,30,3,0,3,3,0,3,0,"Lost an engine, stalled and crashed."
29-08-1960,00:47:00,"Agana, Guam, Mariana Islands",United Arab Airlines,0,Huanuco - Tingo Maria,Lockheed 1049G Super Constellation,PI-C503,6341801,63,55,8,63,55,8,0,"Five minutes after taking off from Lisbon, Portugal, the aircraft plunged into the Atlantic Ocean. There were indications from the wreckage that the aircraft went into a spiral dive and hit the water at over 500 mph. Either through inattentiveness or loss of an artificial horizon or other instrument malfunction, the aircraft went into a steep left bank from which recovery was not possible. Attitude of the aircraft at the moment of impact pointed to over correction."
09-02-1960,15:41:00,"Off Naha, Okinawa",Eastern Air Lines,0,"Cleveland, OH - Madison WI",Ilyushin IL-14P,N8415N,317,18,13,5,18,13,5,0,"Crashed into a hill  at night during the approach, 4 km short of the runway. Crew's neglect to cockpit duties. Pilot's inattention to his instruments."
09-07-1960,09:37:00,"Campbell Lake, Quebec Canada",Itavia,0,"Denver, CO - Scottsbluff, NE",Douglas DC-6,CCCP-42495,45409/19,31,25,6,31,25,6,0,"After liftoff, the airplane encountered difficulties in gaining height when the propeller on the No 2 engine struck a tree located 1,200 meters past the runway end. The airplane continued at low height and struck a second tree, causing a fuel tank to be ruptured and to catch fire. The accident was caused by flight at too low an altitude during a night training exercise."
19-09-1960,12:30:00,"Moscow, Russia",Capitol Airways,0,Bangkok - Chiang Mai,Douglas DC-6AB,XV-NID,2625,94,86,8,80,73,7,0,"Error in judgement on the part of the captain, who, after sighting the runway lights, concentrated on keeping them in sight and failed to make adequate reference to his flight instruments. As a result, he allowed the aircraft to descend below the obstacle clearance limit of 360ft.  In the darkness, with no ground reference, the runway lights gave him insufficient guidance as to his height and angle of approach and he was unaware that the aircraft had descended to ground level. The fatigue of the captain and the failure to illuminate the aircraft's landing lights were conributing factors."
22-09-1960,08:35:00,"Near Juchetipec, Mexico",Aeroflot,0,Riga - Liepaja,Douglas R5D-3,JA8202,3065,29,26,3,29,26,3,0,Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.
22-09-1960,12:40:00,"Off Elba, Italy",Northwest Orient Airlines,0,"	Olekminsk - 	Lensk",Noorduyn Norseman,7502,4118,4,3,1,3,2,1,0,The plane ran out of fuel and crash landed. Crew did not refuel at Kazan.
26-09-1960,17:15:00,"Boston, Massachusetts",Arctic Pacific,0,Buckley ANGB - Seattle NAS,Vickers Viscount 837,HA-MOD,13232,37,31,6,31,26,5,0,Hit apporach lights while trying to land in heavy rain.
28-09-1960,21:45:00,"Elba, Italy",Cubana de Aviacion,0,Cairo - Beirut,Douglas DC-3 (C-53-DO),N7430,4631,18,15,3,8,5,3,0,"Following takeoff from Omaha, hydraulic difficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydraulic emergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydraulic emergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulic system. The driver of the maintenance truck was killed."
29-09-1960,13:51:00,"Plain City, Utah",Royal Nepal Airlines,0,Dar es-Salaam - Moroni,Vickers Viscount 739B,PP-SRA,10306,21,17,4,21,17,4,0," On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway."
10-04-1960,10:15:00,"Ust-Orda, Russia",AREA,0,Honolulu - Vancouver,Lockheed 188A Electra,PP-VJB,30200,72,67,5,62,59,3,0,The aircraft disintegrated in flight following the application of loads in excess of the design loads. The aircraft entered an area of extreme turbulence and was struck by lightning.
14-10-1960,23:15:00,"Near Missoula, Montana",Philippine Air Lines,0,"Leh, Kashmir - Chandigarh, Punjab",de Havilland DH-114 Heron 2,N815D,45653/178,11,7,4,11,7,4,0,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air traffic controller during last stages of flight."
15-10-1960,08:30:00,"Toledo, Ohio",Aeroflot,0,Hong Kong - Taipei,Curtiss C-46F,HK-437E,10279,2,0,2,2,0,2,0,The aircraft crashed between a row of houses while on a sightseeing flight. Inattention of crew to duties. Pilots had 2 companions in the cabin during the entire flight and performed forbidden maneuvers including one sharp turn which resulted in  lost control of the aircraft.
21-10-1960,13:24:00,"Key West, Florida",REAL,0,Vientiane - Sayaboury,Tupolev Tu-104A,PP-PDE,153,3,0,3,3,0,3,0,Crashed into a mountain18 nm northeast of Stravanger Airport.  Deviation from prescribed course. Cause unknown.
28-10-1960,13:32:00,"Bhairawa, Nepal",Military - Argentine Air Force,0,"	Krasnoyarsk - 	Petropavlovsk",Douglas C-54A-DC,N6913C,15235/26680,12,8,4,12,8,4,0,Crashed during approach. During the approach to the airport the aircraft was not in the normal pattern and was below the normal altitude.
29-10-1960,01:37:00,"Near Quito, Ecuador",United Air Lines / Trans World Airlines,0,Hue - Khe Sanh,Curtiss C-46F-1-CU,SP-LVB,3260,48,45,3,22,20,2,0,"An in-flight fire, initiated and sustained by a severe fuel leak. The fuel leak was caused by the locking of a carburetor drain plug to unscrew."
29-10-1960,09:45:00,"Manila, Philippines",Military - U.S. Air Force,0,Caracas - Pointe a Pitre,Douglas DC-3,PP-VCQ,13076,37,34,3,1,1,0,0,The aircraft crashed and burned in a field 10 miles west of Midway Airport. The airliner had taken off from Midway headed for Las Vegas. Loss of a 5/16 inch steel bolt from the elevator boost system which caused the elevator to move to its full upward position creating a stall and loss of control of the aircraft.
11-05-1960,18:56:00," Chernovo, Russia",Philippine Air Lines,0,Manila - Lapu Lapu,Douglas C-47A,G-ARSF,3591,4,0,4,4,0,4,0,Malfunctioning propeller. The pilot tried to turn back for an emergency landing but  the plane stalled and crashed.
11-07-1960,23:26:00,"Cachimbo, Brazil",Aeroflot,0,Saint Denis - Paris,Fairchild F-27A,F-BELZ,98,37,34,3,37,34,3,0,"The aircraft crashed into high terrain, 1,500 meters short of the runway in adverse weather conditions. Probable cause: Continuation of visual filght in adverse weather conditions."
23-11-1960,19:40:00,"San Andres de Giles, Argentina",Ceskoslovenske Aerolinie,0,Cork - London,Douglas DC-3,CCCP-71186,025/24,33,29,4,33,29,4,0,Cargo plane crashed.
12-04-1960,21:30:00,"Staten Island / Brooklyn, New York",Finnair,0,"Peoria, IL - St. Louis, MO",Ilyushin 14M,PP-CEV,10285,14,9,5,14,9,5,0,The aircraft crashed into the Shannon River shortly after taking off in fog. Possible fault with the artificial horizon or aircraft's aileron tabs. Contributing factor was the weather and crew fatigue.
12-07-1960,16:56:00,"Munich, West Germany",Aeronaves de Mexico,0,London - Zurich,Curtiss C-46A-60-CK,N2703,18295/4 / ?,15,13,2,15,13,2,0,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter."
12-11-1960,03:45:00,"Cebu City, Philippines",Military - U.S. Navy,0,Santiago - Coihaique,Avro 691 Lancastrian IV,N67933,42991,31,23,8,31,23,8,0,"Takeoff and Initial climb appeared to be normal, but at approximately 200 feet a shallow turn to the right continued into a gradually increasing bank of about 85 to 90 degrees. While in the turn, the crew made a short, garbled transmission indicating alarm. During the latter part of the turn a gradual descent began and, two minutes after taking off, the aircraft struck the ground. Mechanical failure in the aileron primary control system due to an improper replacement of the aileron boost assembly, resulting in a loss of lateral control of the aircraft at an altitude too low to effect recovery."
16-12-1960,17:05:00,"Near Ulyanovsk, Russia",Garuda Indonesia Airlines,0,Aguascalientes - Mexico City,MD DC-8-11 / Lockheed  1049 S Const,N242V,187009705,128,116,12,128,116,12,6,"The aircraft crashed into the jungle approximately 9 miles from the destination airport. UN Secretary General, Dag HammarskjÃ¶ld, 56, killed. The aircraft was allowed to descend too low, resulting in striking trees and crashing. Although the United Nations released a statement that no evidence of sabotage was found, rumors persist about this accident alleging that the victims were shot prior to the crash or that a bomb onboard exploded. A recent report in 2011 sites pilot fatigue as the cause of the accident."
17-12-1960,06:36:00,"Ruzyne, Czechoslovakia",Military - U.S. Air Force,0,Windhoek - Luanda,Convair C-131D (CV-340-79),149672,3692,20,13,7,20,13,7,31,"Crashed into high terrain on approach, 18 kms from Ankara Airport. The aircraft was not in a normal flying  pattern and below normal altitude."
22-12-1960,18:14:00,"Koivulahti, Finland",American Airlines,0,Houston - Dallas-Fort Worth,Douglas DC-3,OD-ADE/ CBK-28,6449,37,34,3,28,26,2,0,Crashed into Mt. Canigou while descending to land. Navigational error.
26-12-1960,09:05:00,"New York, New York (Idlewild)",Garuda Indonesia Airlines,0,Kham Duc  - Saigon,Ilyushin IL-18A,N9740Z,190,17,13,4,17,13,4,0,The plane stalled and crashed during takeoff.
01-02-1961,23:17:00,Midway Island Naval Air Station,Sabena,0,Anaheim - LAX,Avia 14,CCCP-11193,202/204,10,5,5,10,5,5,0,"The flight crashed into a hill during approach. Pilot error. Improper evaluation of distance, flying a non-standard traffic pattern by night and failing to observe altitude minima during the final approach."
01-03-1961,15:00:00,"Mt. Burangrang, Indonesia",Linea Aeropostal Venezolana,0,Jakarta - Bombay - Karachi - Cairo - Rome - Amsterdam,Douglas DC-3,N724US,22-00-37,25,22,3,25,22,3,0,Failed to gain altitude after a missed approach and crashed. The malfunctioning of the automatic pitch coarsening unit of the starboard propeller. This deprived the captain of the necessary degree of control of the aircraft at a critical stage of the flight.
19-01-1961,03:35:00,"Trinity Bay, Newfoundland",Military - Brazilian Air Force,0,Bangkok - Karachi,McDonnell Douglas DC-8-21,N842D,17669/43,106,97,9,4,0,4,0,"Flown under a military contract, several procedural errors by the crew caused the loss of 2 engines. After several more errors, the aircraft crashed into a wooded area. Most deaths from post-impact fire and CO.  Lack of command coordination and decision, faulty judgement and insufficient knowledge that led to an emergency situation. In addition there were faulty maintenance procedures. The carrier's license was revoked 6 weeks after the crash."
22-01-1961,17:07:00,"Off Montauk Point, New York",Ceskoslovenske Aerolinie,0,"Deauville, France - London, England",Lockheed WV-2 Super Constellation,PI-C489,184007002,22,0,22,6,0,6,3,Went missing en route in the Caribbean Sea.
24-01-1961,08:39:00,"Off Surabaya, Indonesia",LAN,0,Brussels - Lagos,Douglas DC-3,CCCP-75765,22-00-27,21,16,5,21,16,5,0,"The pilot flew too close to the summit of Mt Ruapehu and due either to turbulence or some pilot maneuver, the starboard propeller struck a rock outcrop on the mountain, bending the blade tips forward and causing vibration, which weakened the wing and led to its rapid structural failure of the aircraft."
26-01-1961,16:19:00,"Near Brussels, Belgium",Military - US Air Force,0,SÃ£o Paulo - Recife,Douglas C-118A Liftmaster,N7000P,10284,23,13,10,23,13,10,0,"The aircraft was on a charter flight to Livingstone to pick up United Nations troops on leave and take them back to Elizabethville. It took off from Salisbury Airport, and shortly after take-off suddenly dipped its right wing. After a slow recovery, it climbed away to between 100 - 150 ft and then went into a turn to the left with the port propeller windmilling. This turn continued to get steeper until the aircraft rolled over and dived inverted to the ground . The accident was caused by failure of the pilot to execute a successful single engine forced landing after concluding that there had been a power loss in the port engine. Evidence indicated that a failure of the port engine did not, in fact, occur. The pre-take-off rudder trimmer check was not carried out correctly as laid down in the checklist, and the aircraft took off with full left rudder trim applied. Once airborne this was misinterpreted as port engine failure, and the port propeller was feathered. No apparent action was taken by the pilot to correct the ensuing critical speed yaw."
28-01-1961,20:30:00,"Near Caracas, Venezuela",Air France,0,Rome - Milan - Montreal,Boeing 707-123,CP-707,BA-623,6,0,6,6,0,6,0,"After reaching an altitude of about 100 m, the aircraft lost altitude, collided with a eucalyptus forest and was destroyed. Pilot error. Failure to operate under IFR in adverse weather conditions at night. Failure to follow the climb procedure."
02-03-1961,08:45:00,"Near Natal, Brazil",Military - U.S. Air Force,0,London - Innsbruck,Douglas DC-3,OD-ACZ,19202,26,21,5,26,21,5,0,"Crashed 9 minutes after taking off, into Botany Bay, 3 miles south of the airport . In-flight structural failure due to turbulence."
15-02-1961,09:33:00,"Forcheim, Germany",Military - Royal Air Force,0,"Cincinnati - Charleston, WV",Boeing B-707-320,SA-R-7,9189,72,61,11,72,61,11,1,Crashed into an open field in a steep dive after attempting an emergency landing.
03-09-1961,17:35:00,"Llico, Chile",KLM Royal Dutch Airlines,0,Cairo - Damascus,Douglas DC-3,I-TAVI,67302909,12,8,4,12,8,4,0,Midair collision between two C-119s.
25-03-1961,08:45:00,"Mount Parker, Hong Kong",KLM Royal Dutch Airlines,0,MaturÃ­n - Tucupita,Douglas C-47DL,"	 CCCP-75866","	 69901001",28,22,6,23,21,2,0,The cargo plane cashed while attempting to land. Shifting cargo.
28-03-1961,22:30:00,"Ghadames, Algeria",Air Cameroon,0,Berlin - Sofia - Burgas,Ilyushin IL-18,TF-ISU,10427,52,44,8,52,44,8,0,The plane made an unconcrolled dive and crashed into a snow covered field. The flight engineer inadvertently caused the flaps to be selected to 40 degrees.
04-03-1961,23:30:00,"Near Tacoma, Washington",Continentale Deutsche Luftreederei,0,Ajaccio - Nice,Douglas DC-3,PP-CDW,14040,24,20,4,24,20,4,0,"Shortly after taking off from Esenboga Airport, the aircraft assumed an excessively steep climbing angle, stalled and crashed. The probable cause of the accident was the obstruction of the pitch pointer in the captain's director horizon which led him to make an excessively steep climb. One of three screws had worked its way loose and blocked the pointer on the dial from indicating the correct pitch."
18-04-1961,12:30:00,Singapore,Transcontinental,0,Lagos - Port Harcourt,C-47(DC-3),F-BIAO,17698/44,15,12,3,14,11,3,0,Crashed shortly after initial lift-off while making a water takeoff from Old Harbor. Improperly executed takeoff   which resulted in an inadvertent descent into the water. This produced a high-speed low-angle porpoising from which the pilot was unable to recover.
05-10-1961,17:30:00,"Near Lisbon, Portugal",Aeroflot,0,San José - Paso Canoas,Lockheed 1649A Starliner,SU-AJX,24003,78,69,9,78,69,9,0,"On approach to Surabaya Airport, the plane struck a mountain."
24-05-1961,19:00:00,"Cairo, Egypt",Aeroflot,0,Praha - Kosice,Douglas C-124A-DL,N290,19175/339,22,16,6,22,16,6,0,The plane crashed about 3 km southwest of the airport on a second attempt to land at Mineral Waters. Inattention of the crew due to unnecessary interactions among the crew.
29-05-1961,08:00:00,"Douala, Cameroon",United Air Lines,0,Saigon - Da Nang,Handley Page Hastings C-2,VT-AUL,26696,13,8,5,13,8,5,0,Swerved off the runway while taking off and struck a structure.
30-05-1961,12:36:00,"Near Kano, Nigeria",Ceskoslovenske Aerolinie,0,"Boston, MA - Montpelier, VT - Lebanon, NH",McDonnell Douglas DC-8-53,XY-ACS,187010601,61,47,14,61,47,14,0,"The cargo plane's right wing tip struck a wall and then the plane crashed into a tree. Pilot error in failing to discontinue takeoff, even after the right wing tip hit the well and broke off, while the aircraft was on the ground during the takeoff run."
06-12-1961,21:06:00,"Buenos Aires, Argentina",Aerolineas Argentinas,0,Tokyo - San Francisco,Lockheed L-188C Electra,FAC-953,20039,36,29,7,20,17,3,0,"Crashed on take off due to engine failure. The No..4 propeller did not feather and the airplane banked to the right, lost speed and crashed."
13-06-1961,05:40:00,"	Sverdlovsk, Russia",Alaska Airlines,0,Los Angeles - Santa Ana,Douglas DC-4,YR-ILL,19724,5,3,2,5,3,2,0,"While flying at FL 150, the pilot radioed he was returning to Huanuco because of bad weather. Soon after, the plane was seen spiraling towards the ground and witnesses heard the engines accelerate before the aircraft hit a hill. Separation of the left elevator in flight."
17-06-1961,08:38:00,"Odessa, Ukraine, USSR",Malev Hungarian Airlines,0, Savannakhét - Vientiane,Douglas C-54B-1-DC,CP-45,19,7,5,2,1,1,0,0,"Approximately 10 minutes after takeoff , for a scheduled flight to Cumana, the aircraft crashed into the San Juan Mountains."
30-06-1961,14:52:00,"Denver, Colorado",Cunard Eagle Airways,0,Anchorage - Iliamna,Curtiss C-46A,PP-VBV,43748/314,35,30,5,24,22,2,0,"After taking off the crew of the cargo plane declared an emergency and crashed shortly after. The faulty procedure on the part of the pilot who made the en route climb from Manizales to San Felix at a low altitude, so that the aircraft became trapped in a canyon and crashed in the San Felix pass at La Aguadita after stalling during a turn at 9,000 ft."
07-08-1961,00:12:00,"Casablanca, Morocco",Turkish Airlines THY,0,New York City - Caracas,Ilyushin IL-14P,N449A,178,26,21,5,9,4,5,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft."
07-10-1961,23:48:00,"Near Azul, Argentina",Eastern Provincial Airways,0,Detroit - Erie - Bradford - Washington D.C.,Tupolev TU-104B,ZK-AYZ,45772/30,85,76,9,1,1,0,0,The aircraft had a unusually long take-off run and appeared to gain altitude with difficulty. One and one-half miles from the runway the aircraft struck trees and crashed into a tidal swamp and burst into flames.  A jammed right elevator spring tab caused the crew to lose of control of the aircraft.
07-11-1961,16:59:00,"Shemya, Alaska",Trans World Airlines,0,Fairbanks - Prudhoe Bay,McDonnell Douglas DC-8-12,CCCP42492,18373,122,115,7,17,17,0,1,"Crashed into a mountain. Error in judgement by the pilot-in-command who attempted a low visual flight, beneath the cloud base, near mountains, in deteriorating weather conditions."
07-12-1961,18:52:00,"Budapest, Hungary",Ethiopian Airlines,0,"San Francisco - Anchorage - Cam Ranh Bay, Vietnam",Ilyushin IL-18B,5R-MAJ,6330,72,64,8,72,64,8,0,The cargo plane crashed into Mt. Velino while en route.  Premature descent on part of the crew.
19-07-1961,10:30:00,"Sola, Norway",REAL Transportes Aereos,0,Tijuana - Guerrero Negro,Douglas DC-6,B-148,7339,67,60,7,67,60,7,0,The transport was taking part in a parachute drop mission with five other aircraft when it crashed.
21-07-1961,04:12:00,"Ankara, Turkey",Lineas Aéreas Costarricenses,0,Minneapolis - Chicago - Milwaukee,Douglas DC-6A,SU-ALD,19705,6,0,6,6,0,6,0,"Crashed into a mountain at an altitude of 6,800 ft. while en route in poor weather. In avoiding cumulus clouds and turbulent conditions the pilot was not able to keep track of his exact position or maintain exact altitude."
08-06-1961,21:48:00,"SondrestrÃ¶mfjord, Greenland",President Airlines,0,Reynosa - Tampico,Douglas DC-3,PP-SLL,1099,27,23,4,27,23,4,3,"Lost at sea while en route from Guam to the Philippines. The crew of the SS T.L. Lenzen supertanker sighted a midair explosion at 00:30 local time, from their position at 13 degrees 44' N, 134 degrees 49' E.  The subsequent search of over 144,000 square miles found nothing. Cause undetermined."
08-09-1961,10:04:00,"Near Hinsdale, Illinois",Air France,0,Perth - Port Hedland,Vickers Viking 3B,F-BGNV,3600,39,36,3,39,36,3,0,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach."
23-08-1961,02:30:00,"Near Sendafar, Ethiopia",Northwest Orient Airlines,0,Kaohsiung - Hualien,Curtiss C-46F,N67941,30-10-2003,29,25,4,28,24,4,0,"While approaching Boufarik AFB by night and poor weather conditions, the plane struck the slope of a mountain located near Col des Deux Bassins, about 38 km southeast of Boufarik Airfield."
29-08-1961,20:36:00,"Concordia, SC, Brazil",Transair Sweden,0,Frankfurt - London,de Havilland Canada DHC-3 Otter,JA6155,18790/394,6,4,2,1,0,1,0,Crashed shortly after takeoff into the sea 1 mile offshore and sank. The weather was clear.
09-01-1961,12:00:00,"Cerro del Aernal, Costa Rica",Turkish Airlines (THY),0,Washington - Harrisburgh - Bradford - Erie - Detroit,Lockheed 049 Constellation,CCCP-45021,503,78,73,5,78,73,5,0,"Due to winds, the aircraft was 10 degrees off course as it prepared to land at Villavicencio and crashed into a 11,500 ft. mountain."
09-05-1961,19:25:00,"Shannon, Ireland",Derby Aviation,0,Copenhagen - Los Angeles - Seattle,Douglas DC-3,CCCP-61617,20082,19,16,3,5,4,1,0,Crashed into a fog-shrouded mountain minutes after taking off from Hong Kong airport.
09-06-1961,11:20:00,"Near Rabat, Morocco",Military - Royal Air Force,0,Hue - da Nang,Douglas C-47A (DC-3),61-0319/61-0322,5211,4,0,4,4,0,4,,"Nothing was heard from the aircraft after departing Bahia Solano. The wreckage was found 4 days later, 31 miles from the airport on Bonito Peak at an elevation of 2,400ft."
09-06-1961,19:22:00,"Chicago, Illinois",Panair do Brasil,0,Los Angeles - Denver - Milwaukee,Douglas DC-3,HG-ICV,219,2,0,2,2,0,2,0,"The plane descended to 1,000 ft while approaching Portsmouth in low clouds and drizzle and stuck St. Boniface and bust into flames. Pilot error. Crew flew below minimum safe altitude."
09-10-1961,01:38:00,"Ndola, Zambia",Silver City Airways,0,"Hawthorne, NV - Burbank - Long Beach",Douglas DC-6B,VT-DIO,19211/518,83,77,6,83,77,6,0,The plane crashed and burned in a ravine after experiencing engine failue minutes after taking off.
09-12-1961,20:14:00,"Ankara, Turkey",Imperial Airways,0,Kaohsiung - Taipei,Sud-Aviation Caravelle III,F-BJER,33481,77,71,6,77,71,6,0,Crashed into trees short of the runway while on approach. Approach not carried out in accordance with company procedures and misjudgement of his distance from the runway.
17-09-1961,07:48:00,"Mt. Canigou, France",Air Haiti International,0,Saint Thomas - San Juan,Lockheed 188C  Electra,56-2002,33445,37,32,5,37,32,5,0,"While landing on the water, the plane abruptly swerved to the right and sank in a short period of time. Because of a malfunction, the nose wheel doors were not closed and locked. The doors were torn off in the landing, allowing water to enter the wheel well severely damaging the aircraft."
17-09-1961,20:41:00,"El Adem, Libya",Bay of Plenty Airways,0,"Halifax, NS - Santa Maria, Portugal",Douglas DC-6B,HP-385,45630,16,11,5,16,11,5,0,The cargo plane crashed shortly after taking off.
23-09-1961,13:55:00,"Near Recife, Brazil",Rhodesian Air Services,0,Fairbanks - Bethel - Minchumina,Fokker F-27 Friendship 100,N6673D,176 / ?,29,25,4,28,24,4,0,Struck a mountain in poor weather conditons.
